avg_score,avg_mods,avg_reward,resets,og size,mod size,clean acc,robust acc
0.583,37.495,0.384,2873,297.151,299.832,0.999,0.998
0.649,99.662,0.348,1304,302.959,306.781,0.999,1.000
0.635,170.880,0.360,1044,311.933,323.402,0.998,1.000
0.606,309.941,0.352,458,286.686,368.851,0.999,1.000
0.533,582.696,0.418,282,306.755,517.082,0.999,1.000
0.001,1600.275,0.003,155,246.994,540.333,0.999,1.000
0.014,1534.589,0.013,233,325.768,565.892,0.997,0.978
0.026,1605.506,0.015,237,323.637,411.570,0.998,1.000
0.505,336.722,0.341,749,288.582,469.273,0.999,1.000
0.002,938.522,0.006,232,326.328,607.004,0.999,0.978
0.014,1250.885,0.017,236,324.186,543.261,0.997,0.894
0.011,1298.468,0.003,233,325.768,523.736,0.997,1.000
0.001,1084.096,0.003,231,326.900,501.188,0.998,0.978
0.538,285.295,0.333,862,299.780,475.107,0.999,1.000
0.002,1205.856,0.005,231,326.900,540.659,0.997,0.957
